url;title;album;album_release_date;author
https://www.youtube.com/watch?v=3FZlG8Jztxk;Unholy Confessions;Waking the Fallen;26.08.2003;Avenged Sevenfold
https://www.youtube.com/watch?v=IHS3qJdxefY;Bat Country;City of Evil;06.06.2005;Avenged Sevenfold
https://www.youtube.com/watch?v=jUkoL9RE72o;Seize the Day;City of Evil;06.06.2005;Avenged Sevenfold
https://www.youtube.com/watch?v=KVjBCT2Lc94;A Little Piece of Heaven;Avenged Sevenfold;30.10.2007;Avenged Sevenfold
https://www.youtube.com/watch?v=HIRNdveLnJI;Afterlife;Avenged Sevenfold;30.10.2007;Avenged Sevenfold
https://www.youtube.com/watch?v=Fi_GN1pHCVc;Almost Easy;Avenged Sevenfold;30.10.2007;Avenged Sevenfold
https://www.youtube.com/watch?v=mzX0rhF8buo;Dear God;Avenged Sevenfold;30.10.2007;Avenged Sevenfold
https://www.youtube.com/watch?v=3vDetD8cW_o;Gunslinger;Avenged Sevenfold;30.10.2007;Avenged Sevenfold
https://www.youtube.com/watch?v=imwmmv9r1oE;Buried Alive;Nightmare;27.07.2010;Avenged Sevenfold
https://www.youtube.com/watch?v=94bGzWyHbu0;Nightmare;Nightmare;27.07.2010;Avenged Sevenfold
https://www.youtube.com/watch?v=A7ry4cx6HfY;So Far Away;Nightmare;27.07.2010;Avenged Sevenfold
https://www.youtube.com/watch?v=QLoNbArsQP0;Welcome to the Family;Nightmare;27.07.2010;Avenged Sevenfold
https://www.youtube.com/watch?v=DelhLppPSxY;Hail to the King;Hail to the King;23.08.2013;Avenged Sevenfold
https://www.youtube.com/watch?v=bT8FEOJEFcI;Shepherd of Fire;Hail to the King;23.08.2013;Avenged Sevenfold
https://www.youtube.com/watch?v=Jgk3u44W2i4;This Means War;Hail to the King;23.08.2013;Avenged Sevenfold
https://www.youtube.com/watch?v=08SWNL0e5Z4;Glass Houses;Bad Omens;19.08.2016;Bad Omens
https://www.youtube.com/watch?v=cFWeW1pBYkM;The Worst in Me;Bad Omens;19.08.2016;Bad Omens
https://www.youtube.com/watch?v=h31THl8shy4;Dethrone;Finding God Before God Finds Me;02.08.2019;Bad Omens
https://www.youtube.com/watch?v=HSpaZjR_ULE;Limits;Finding God Before God Finds Me;02.08.2019;Bad Omens
https://www.youtube.com/watch?v=Sy8I2_JqIJ0;Never Know;Finding God Before God Finds Me;02.08.2019;Bad Omens
https://www.youtube.com/watch?v=IBcUkTXAwbw;Artificial Suicide;The Death of Peace of Mind;25.02.2022;Bad Omens
https://www.youtube.com/watch?v=o3xHEJZs7as;Concrete Jungle;The Death of Peace of Mind;25.02.2022;Bad Omens
https://www.youtube.com/watch?v=GLRFl26Q92s;Just Pretend;The Death of Peace of Mind;25.02.2022;Bad Omens
https://www.youtube.com/watch?v=Aibxit_PpAg;Like a Villain;The Death of Peace of Mind;25.02.2022;Bad Omens
https://www.youtube.com/watch?v=4a8CogWA3-Y;Nowhere to Go;The Death of Peace of Mind;25.02.2022;Bad Omens
https://www.youtube.com/watch?v=ERnA797fkoA;Take Me First;The Death of Peace of Mind;25.02.2022;Bad Omens
https://www.youtube.com/watch?v=ouW_RCAI0sg;The Death of Peace of Mind;The Death of Peace of Mind;25.02.2022;Bad Omens
https://www.youtube.com/watch?v=ZMAy5K8vEGc;The Grey;The Death of Peace of Mind;25.02.2022;Bad Omens
https://www.youtube.com/watch?v=ev_vPbqUlZs;V.A.N;Concrete Jungle [The OST];31.05.2024;Bad Omens
https://www.youtube.com/watch?v=EUe9UhcUtEI;Specter;Single;08.08.2025;Bad Omens
https://www.youtube.com/watch?v=gFDCHdKbKBY;Knives and Pens;We Stitch These Wounds;20.07.2010;Black Veil Brides
https://www.youtube.com/watch?v=C-S6EDNUmdc;Perfect Weapon;We Stitch These Wounds;20.07.2010;Black Veil Brides
https://www.youtube.com/watch?v=EiRkHLP8ys0;The Mortician's Daughter;We Stitch These Wounds;20.07.2010;Black Veil Brides
https://www.youtube.com/watch?v=VuGzJVKtW6g;Fallen Angels;Set the World on Fire;14.06.2011;Black Veil Brides
https://www.youtube.com/watch?v=Rl-_ZmNCOvo;Rebel Love Song;Set the World on Fire;14.06.2011;Black Veil Brides
https://www.youtube.com/watch?v=OsO9wGRf5hI;The Legacy;Set the World on Fire;14.06.2011;Black Veil Brides
https://www.youtube.com/watch?v=f0EQlIzPowM;In The End;Wretched and Divine: The Story of the Wild Ones;08.01.2013;Black Veil Brides
https://www.youtube.com/watch?v=KlDHbX7aUIM;Lost It All;Wretched and Divine: The Story of the Wild Ones;08.01.2013;Black Veil Brides
https://www.youtube.com/watch?v=Q2xni3EZbZk;Wretched and Divine;Wretched and Divine: The Story of the Wild Ones;08.01.2013;Black Veil Brides
https://www.youtube.com/watch?v=f-cxPIOAfSk;Goodbye Agony;Black Veil Brides;27.10.2014;Black Veil Brides
https://www.youtube.com/watch?v=RZxhWqxwsBQ;Heart of Fire;Black Veil Brides;27.10.2014;Black Veil Brides
https://www.youtube.com/watch?v=HBB37gsHJmQ;Wake Up;Vale;12.01.2018;Black Veil Brides
https://www.youtube.com/watch?v=kXPvviSqFYk;Saviour II;The Phantom Tomorrow;29.10.2021;Black Veil Brides
https://www.youtube.com/watch?v=G2A9Bbjlg84;Scarlet Cross;The Phantom Tomorrow;29.10.2021;Black Veil Brides
https://www.youtube.com/watch?v=AThcMJmiTXI;Bleeders;Vindicate;26.04.2024;Black Veil Brides
https://www.youtube.com/watch?v=beUL4Gw5Tpw;4 Words (To Choke Upon);The Poison;03.10.2005;Bullet for My Vallentine
https://www.youtube.com/watch?v=4q3KTBBsbpE;All These Things I Hate (Revolve Around Me);The Poison;03.10.2005;Bullet for My Vallentine
https://www.youtube.com/watch?v=c0SrxSMHDmE;Hand of Blood;The Poison;03.10.2005;Bullet for My Vallentine
